lexeme;definition
ta'oā;creux du genou
unuhi;se retirer furtivement
tauau;mauvais temps pour la pêche
amo'a;fête
nanue;saupe grise
pō'ia;sombre
aufau;prière ancienne
pāpio;cheval de manège
maete;s'effriter
pae'a;variété d'arbre à pain
hāria;drisse
moana;océan, mer
mauhi;doux, duveteux
'āmui;productif
taipe;type
ature;chinchard
'oehā;maille d'un filet
'urie;perche tricolore
mamae;douleur, souffrance, douleur morale
ua'ao;fou masqué (oiseau)
piāna;piano
rōine;ligne, line
'īaha;ne pas
pāroe;récipient en bois
'ōmua;chef
papai;variété de plantain
puehu;en poudre, être emporté 
paoti;patron
tīani;quelqu'un qui aide
'atea;tribord
'āvei;variété d'arbre à pain 
tī'ei;tourner le visage de côté
apara;appellation particulière
tāere;lent, paresseux
aroro;cordage
tiupi;oviducte
pōara;vigilant
tāmua;première rangée de fruit
'ārua;trou
'āeto;aigle
māine;lentement
tī'ao;regarder dehors
pūaoa;agglomération
parae;plat en bois
pāinu;dériver
vavao;médiateur
tāmia;écureuil
orora;crabe
vārua;esprit, âme
moihi;mousse noirâtre
tāipu;louche (ustensile)
nūnui;grand, nombreux
mōina;être oublié
māroa;garçon
tueve;presser, se bousculer
roroa;long, allongé
heheu;ouvrir, découvrir
tārou;gaffe munie d'un crochet
'ōmou;sommet, partie supérieur
hūa'i;ouvrir une fosse
tūahi;chasser
toroā;oiseau de mer
onohi;s'accroupir, tomber
nāmua;dirigeant, chef
pōnao;boucler, cadenasser
tāoha;être incliné
'iriā;exaspérante (douleur)
māoro;masser
'ōana;yeux de noix de coco
tātui;transpercer
'anoa;ruine
taitu;geai
hāpoi;apporter
'ōimo;coutume ancienne
pāiti;papa, papa
rōrea;élancé
maheu;être ouvert, découvert
tahua;sol d'une maison
'āu'a;coupe, bol
tōa'a;fibreux
ahura;prière des pêcheurs
mouea;refuge, médecin 
tārua;se rassembler, se réunir
tūahu;partie du marae
'āeri;conseil, assemblée
'aepu;prendre dans le creux de sa main
pūa'a;moisi, moisissure
tiupa;cube, dé (jeu)
fefeu;ouvrir, étaler, déployer
māhea;cesser
manuā;navire de guerre
'ouru;extrémité, pointe
po'ou;labre
tōahu;étouffant, accablant
pōpou;admirable, agréable
tahae;féroce
'ūpoa;oiseau de mer
'ōata;trou central d'une noix 
'āuri;rejet
mohoi;arriver par hasard
tīope;feuille d'arbres
pāere;thazard noir
hōreo;serment
pūono;renforcer un groupe
'ōteo;rejet, gourmand, pousse
napau;arbre de montagne
'aipa;négatif
meheu;être découvert
tōtōā;nuire à quelqu'un
paheo;gâté (enfant)
hīroe;clairsemé
uaroa;variété de jonc
fenei;saleté d'un récipient
mei'a;banane, bananier
māhae;lance
unuhi;perte de connaissance
tumou;constipation
fafao;mettre dans un récipient
tatau;réciter, répéter
tāhei;crépine, passoire
mātai;présents
pīhae;souffle de vent
mōrei;bouchon
'āpuō;cri pour annoncer un bateau
tāriu;ravin
rū'oi;âgé
faira;dur, pingre
marua;abortif
hahau;aller obliquement
tuahē;espace de temps
tōu'i;génital
māinu;appât, dériver
aro'a;face d'une feuille
tuāhu;quai, port
'aute;hibiscus
tīpou;se courber
araea;être presque étouffé
mārau;poisson non identifié
'ā'ia;ouverte, éclose, fleuri
mātea;être pâle
avivi;insuffisamment cuit
mā'ei;jaillir, s'échapper
paara;baguette, essayer
'aveu;crabe de cocotier
fa'aū;diriger, heurter
ferei;exhibition
tetei;dents mal rangées
vīhia;discipliné
haroa;côté, partie
'uini;pépier, gazouiller
avini;variété de kava sauvage
mehau;vent, brise
taupe;appentis
pūtea;blanchâtre, sans tache
puaru;guerrier solide
faīno;être équilibré
nau'a;être obtenu, être attrapé
tauri;être mêlé
tāuta;débarquer
unahi;écailler le poisson
pāito;vigilant, ingénieux
tūtou;rencontre inattendue
hahae;déchirer
'a'ao;chétif, amaigri
'ārio;argent (métal)
tēiti;Gerbéra
tuana;cygne
pū'oe;cône
ana'e;tous
